,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,mon_yr,notes,event_id_cnty,event_id_no_cnty
778677,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2014-12,"Academic and commercial activities in Federal University, Oye-Ekiti and the town itself were paralysed, as workers and students took to the streets to protest poor working condition.",NIG6812,6812
778762,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Akwa Ibom,2014-12,Workers at Akwa Ibom Airport protest over two days over poor conditions of service.,NIG6802,6802
778852,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Ogun,2014-12,A faction of PDP supporters protest the parties choice for gubernatorial candidate for Ogun. The protest took place at the party headquarters in Abeokuta.,NIG6791,6791
778853,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Imo,2014-12,"A faction of PDP supporters protest the parties choice for gubernatorial candidate for Imo. The protest took place at the party headquarters in Owerri, which effectively shut the secretariat down.",NIG6793,6793
778871,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Akwa Ibom,2014-12,Workers at Akwa Ibom Airport protest over two days over poor conditions of service.,NIG6795,6795
779082,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2014-12,Many protesters stormed the Peoples Democratic Party (PDP) national headquarters in Abuja over what they described as irregularities in the parties House of Representatives primary election for Southern Ijaw Federal Constituency.,NIG6773,6773
779184,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Akwa Ibom,2014-12,There were protests among factions of the PDP in parts of Akwa Ibom State (locations not reported) following the result of a primary election.,NIG6770,6770
779189,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Cross River,2014-12,Loyalists to Senator Otuprotest (PDP) protest the result of his primary defeat in Calibar.,NIG6771,6771
779235,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Plateau,2014-12,Delegates and supporters of the PDP stage a 'rowdy' demonstration in protest of the labelling of ballot boxes used in a state primary contest. The source did not articulate where in the state the protest(s) took place.,NIG6767,6767
779238,Protesters (Nigeria),APC: All Progressives Congress,,,Kogi,2014-12,The All Progressives Congress (APC) Senate primaries in Kogi State was marred by protest over poor distribution of election materials. Though the source suggests several protests throughout the state it only one in Kabba is cited.,NIG6768,6768
779269,Protesters (Nigeria),APC: All Progressives Congress,,,Kogi,2014-12,Some All Progressives Congress (APC) aspirants for the House of Representatives in Kogi State staged a protest at the parties secretariat over alleged hijacking of election materials by some party stakeholders.,NIG6763,6763
779465,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2014-12,Armed PDP protesters gather at the parties secretariat to accuse the party leadership of acting in cahoots with former Minister of State for Education to impose candidates ahead of next years elections. Despite the protesters being armed there were no reports of any violent incidents occurring.,NIG6741,6741
779536,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Delta,2014-12,PDP protests in Ika North East LGA over the results of a disputed primary election. Locations in the LGA to known.,NIG6737,6737
779613,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Kogi,2014-12,A PDP group protests against a PDP primary process which they claimed was not transparent.,NIG6734,6734
779756,Protesters (Nigeria),Students (Nigeria),,,Ondo,2014-11,Students of the Adeyemi College of Education protest the deaths of two fellow students when they were struck by vehicle. The protesters marched in several areas of the city.,NIG6727,6727
780070,Protesters (Nigeria),Students (Nigeria),,,Plateau,2014-11,Students of the University of Jos besieged the Bauchi road campus of the institution protesting alleged increment in school fees. They also called on the Vice Chancellor to rescind his decision or resign.,NIG6699,6699
780377,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2014-11,"Members of the APC protest in Abuja, accusing the President Jonathan and the PDP of 'playing politics with Boko Haram.'",NIG6692,6692
780392,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2014-11,"Angered at what they considered as the bleak lot of the kidnapped Chibok girls, impunity and discriminatory law enforcement, leaders of the All Progressives Congress (APC) marched on Louis Edet House, headquarters of the Nigeria Police Force in Abuja. No report of police response.",NIG6686,6686
780593,Protesters (Nigeria),Itsekiri Ethnic Group (Nigeria),,,Delta,2014-11,"Itsekiri youths protest the groundbreaking of a Export Processing Zone (EPZ), giving seven-day ultimatum to President Goodluck Jonathan to reschedule the date of ceremony to comport with local ethnic sensibilities vis a vis those of neighbouring Ijaw.",NIG6664,6664
780611,Protesters (Nigeria),Women (Nigeria),,,Delta,2014-11,Over one thousand women from Okirigwe and Amukpe communities in Sapele Local Government Area of Delta State weekend stormed Amupke Flow station of SEPLAT Petroleum Development Company in protest against alleged non-compliance of the company with a non-compliance of a law. The protest occurred 'at the weekend' - exact date not known.,NIG6668,6668
780636,Protesters (Nigeria),Women (Nigeria),Gov(Nigeria),,Imo,2014-11,"A group of women from Irete community protest insecurity in their area after an increased report of sexual assaults. The group protested along the Owerri/Onitsha express way, causing traffic problems. Police in the area dispersed the protesters.",NIG6661,6661
780761,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Cross River,2014-11,A group of PDP youths numbering over 400 picketed the state secretariat of the Peoples Democratic Party (PDP) in Cross River protesting the withholding of the delegates list that was the outcome of the parties ward congresses.,NIG6652,6652
780836,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Edo,2014-11,"Aggrieved members of the Peoples Democratic Party (PDP) in Egor Local Government Council protested the alleged screening of an aspirant of the party for the House of Assembly seat in Egor, who was last week remanded at Oko prison for alleged attempted murder.",NIG6644,6644
781007,Protesters (Nigeria),APC: All Progressives Congress,,,Kwara,2014-11,"Kwara State APC members protest at the home of the party leader, alleging alleged marginalisation in the distribution of elective positions.",NIG6636,6636
781149,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2014-11,Members of the PDP protest in Abuja seeking the disqualification of a party candidate whom they believe would bring disrepute to the party.,NIG6629,6629
781264,Protesters (Nigeria),Women (Nigeria),,,Anambra,2014-11,A group of widows protest the impeachment of a female local council boss.,NIG6612,6612
781270,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2014-11,"The Federal Polytechnic , Ado Ekiti, was shut down following a protest staged by students against a hike in tuition fees payable in the institution.",NIG6617,6617
781557,Protesters (Nigeria),Students (Nigeria),,,Federal Capital Territory,2014-10,Students of National Open University demonstrated at one of their study centres over poor internet connectivity.,NIG6601,6601
781775,Protesters (Nigeria),Students (Nigeria),,,Kaduna,2014-10,Medical students at Kaduna State University protest the non-accreditation of their faculty.,NIG6584,6584
781957,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Ekiti,2014-10,Hundreds of supporters of Ekiti State Governor (PDP) trooped to the streets to protest alleged plan by members of the state House of Assembly to impeach the governor.,NIG6576,6576
782236,Protesters (Nigeria),Government of Nigeria (1999-2015),,,Federal Capital Territory,2014-10,Personnel of the Ministry of Information stage a protest at the entrance to the Radio House over alleged maladministration and embezzlement during the tenure of the Secretary.,NIG6560,6560
782491,Protesters (Nigeria),Students (Nigeria),,,Ogun,2014-10,Nursing students protest the state of non-accreditation of their school.,NIG6540,6540
782512,Protesters (Nigeria),APC: All Progressives Congress,,,Edo,2014-10,Supports of the APC protest the arrest of several fellow APC lawmakers of the Edo State house after it was alleged they had forged signatures of their PDP colleagues. The protesters called the arrests part of a PDP 'witch hunt'.,NIG6543,6543
782551,Protesters (Nigeria),Christian Group (Nigeria),,,Kwara,2014-10,"Thousands of Christians, members of various church denominations protest in Ilorin early hours of the morning to protest the taking over of their schools by Kwara state government, demanding that they want their schools back in their control. The school takeover is related to the areas Ebola outbreak.",NIG6539,6539
782652,Protesters (Nigeria),APGA: All Progressives Grand Alliance Party,,,Anambra,2014-10,"Over 5,000 members of the All Progressives Grand Alliance (APGA) from 21 Local Government Areas in Anambra State gathered Nnewi, to protest the defection of former State Governor to another political party.",NIG6533,6533
784392,Protesters (Nigeria),Women (Nigeria),,,Cross River,2014-09,"30 women in the Watt Market, Calabar protest at the Cross River house assembly over what they describe as double taxation by the state government.",NIG6436,6436
784465,Protesters (Nigeria),Students (Nigeria),,,Lagos,2014-09,"Students of Lagos State University (LASU) External System stormed the Governors Office, Alausa, Ikeja, in protest over various complaints, including high fees, extended academic calendar, delayed issuance of results, among others.",NIG6430,6430
784555,Protesters (Nigeria),Protestant Christian Group (Nigeria),,,Anambra,2014-09,Anglican Church leaders and petitioners protest the destruction of their church building.,NIG6426,6426
784968,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Kwara,2014-09,A group of members of Peoples Democratic Party (PDP) in Kwara State staged a protest against the state leadership of the party over alleged imposition of a candidate as the parties chairman in Ilorin West Local Government Area.,NIG6390,6390
785058,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Kwara,2014-09,Members of the Peoples Democratic Party (PDP) in Ilorin-west Local Government Area of Kwara State protested the inauguration of a factional party chairman in the area.,NIG6383,6383
785139,Protesters (Nigeria),Students (Nigeria),,,Edo,2014-09,Students demonstrate along Benin-Ore federal highway outside Igouriakhi in protest over poor infrastructure and unpaid salaries of their lecturers.,NIG6379,6379
785482,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Delta,2014-08,Youths believed to be members of a faction of the Peoples Democratic Party (PDP) in Isoko South Local Government Area of Delta State forced the shutting down of the Erhioke Flow Station over the politics of the management company.,NIG6367,6367
785558,Protesters (Nigeria),APC: All Progressives Congress,,,Lagos,2014-08,Supporters of the APC hold a protest in support of the removal of a council chairman.,NIG6351,6351
786169,Protesters (Nigeria),Women (Nigeria),,,Oyo,2014-08,"Meat sellers protest low patronage due to the outbreak of Ebola disease. The women under the aegis of Bushmeat Sellers Association lamented that since the announcement that the deadly disease could be caused by eating bush meat, spell had been cast on their sales. The protest took place at the governors office.",NIG6311,6311
786173,Protesters (Nigeria),Protestant Christian Group (Nigeria),,,Anambra,2014-08,"Members of an Anglican Church protest the destruction of their sanctuary by 'thugs', which occurred late last week. The protest occurred in various locations in Onitsha, though the church building itself is in nearby Oyi LGA.",NIG6305,6305
786633,Protesters (Nigeria),Women (Nigeria),Gov(Nigeria),,Bayelsa,2014-08,"A group of woman and youths protest the alleged exclusion to them by Shell Oil to not hire members of their community for employment with the company. The military made a presence in the area, but there is no reported violence between they and the protesters.",NIG6272,6272
786681,Protesters (Nigeria),Students (Nigeria),,,Delta,2014-08,Students again protest the death of a fellow student at the hands of a suspected thief. The group had originally protested on 07/08.,NIG6277,6277
786809,Protesters (Nigeria),Students (Nigeria),,,Delta,2014-08,"Students at the Federal University of Petroleum Resources Effurun, FUPRE protest the killing of a fellow student at the hand of armed robbers.",NIG6268,6268
786941,Protesters (Nigeria),Women (Nigeria),,,Edo,2014-08,A 70-year-old woman led a group of protesters over the last months murder of her son. The group called for re-opening of a police investigation.,NIG6260,6260
787649,Protesters (Nigeria),Shiite Muslim Group (Nigeria),,,Kaduna,2014-07,Following a clash which coast the lives of the Shiites several members of the sect protested the violence.,NIG6211,6211
787682,Protesters (Nigeria),APC: All Progressives Congress,,,Nasarawa,2014-07,Members of the APC protest against a proposed impeachment of the Nazarawa State Government.,NIG6209,6209
788241,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2014-07,"Members of the Peoples Democratic Party (PDP) Project Reloaded, Federal Capital Territory (FCT) chapter, on Thursday, staged a peaceful protest against the Boko Haram insurgency in the country, condemning the circumstances where innocent lives were being wasted by the insurgents.",NIG6175,6175
788778,Protesters (Nigeria),Students (Nigeria),,,Osun,2014-07,Obafemi Awolowo University is closed indefinitely after violent protests over school fees.,NIG6141,6141
788842,Protesters (Nigeria),Women (Nigeria),,,Bayelsa,2014-07,Women in Obunagha community in Yenagoa LGA of Bayelsa State who shut down the Shell Petroleum Development Company (SPDC) Gbarain-Ubie gas plant during a protest. The group said the action was to draw attention to the perennial power outage in the community.,NIG6137,6137
788899,Protesters (Nigeria),Students (Nigeria),,,Ogun,2014-07,Students of Ogun State origin from the Federal University of Agriculture Abeokuta (FUNAAB) staged a protest in Abeokuta over non-payment of their 2013/2014 bursary.,NIG6129,6129
788964,Protesters (Nigeria),Students (Nigeria),,,Ondo,2014-07,"Students of Rufus Giwa Polytechnic, Owo, Ondo State, began a major protest against the hike in tuition fees at the institution. The protest occurred during the morning hours. The students have taken over the busy Owo/Abuja expressway and locked up the offices of the rector, Prof. Igbekele Ajibefun. They have also taken over the schools main gate, driving and marching around Owo to draw the attention of residents to their plight.",NIG6128,6128
789021,Protesters (Nigeria),Bring Back Our Girls Campaign,Gov(Nigeria),,Federal Capital Territory,2014-07,"BringBackOurGirls protesters attempt to baricade the Presidential Villa in the Aso Rock area, but are blocked by security forces.",NIG6126,6126
789411,Protesters (Nigeria),Students (Nigeria),,,Edo,2014-06,"In what they described as an unjustifiable imposition of fees on them by the management of the National Open University of Nigeria (NOUN), students of the Benin study centre staged two days peaceful protest in Benin City, Edo State.",NIG6094,6094
789446,Protesters (Nigeria),Students (Nigeria),,,Nasarawa,2014-06,"Law students at the University of Keffi demonstrated against the slashing of their bursary from N500,000 to N100,000.",NIG6097,6097
789506,Protesters (Nigeria),Students (Nigeria),,,Edo,2014-06,"In what they described as an unjustifiable imposition of fees on them by the management of the National Open University of Nigeria (NOUN), students of the Benin study centre staged two days peaceful protest in Benin City, Edo State.",NIG6089,6089
790236,Protesters (Nigeria),Students (Nigeria),,,Osun,2014-06,School fee protesters in Ife continue their demonstrations for a second day. Many of the demonstrators chased the staff out of their offices.,NIG6034,6034
790260,Protesters (Nigeria),Women (Nigeria),,,Bayelsa,2014-06,A protest against poor roads is led by a 90-year-old woman in Okoroba.,NIG6037,6037
790305,Protesters (Nigeria),Women (Nigeria),,,Delta,2014-06,"Women in Erhoike, host to Oil Mining Lease 30, compromising a flow station and oil and gas well, in Ethiope East Local Government Area of Delta State picketed the Nigerian Petroleum Development Company, NPDC, facility to draw attention to alleged neglect of the community.",NIG6029,6029
790338,Protesters (Nigeria),Students (Nigeria),,,Osun,2014-06,"Students of the Obafemi Awolowo University (OAU), Ile-Ife, Osun State, protest a hike in their school fees. The protesting students have locked down major buildings in the institution, with principal officers of the university locked up in the senate building.",NIG6027,6027
790706,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Rivers,2014-06,"Business activities were grounded in Port Harcourt, as a pro-Justice Daisy Okocha demonstrators (PDP) took to major streets in condemnation of the inability of the state government to install her as the states substantive chief judge. The protest, which started at about 6am, lasted for three hours with the protesters displaying various placards with inscriptions: 'Rivers people support NJC decision', 'APC wants to destroy Rivers state.' The protesters had representatives from all of Rivers States LGAs. The protesters also expressed unhappiness with a recent amendment of a proposed state law. Thursdays protest came 24 hours after the anti-Justice Okocha demonstrators staged their own match.",NIG6008,6008
790738,Protesters (Nigeria),Students (Nigeria),,,Federal Capital Territory,2014-06,Students of the University of Abuja protested against the strike embarked upon by the universities local chapter of the Academic Staff Union of Universities (ASUU) along the Gwagwalada- Giri highway in Abuja. The students said they were aggrieved about the high-handedness of the university authorities. They claimed their lecturers were on strike due to unpaid allowances by the school management.,NIG6001,6001
790756,Protesters (Nigeria),APC: All Progressives Congress,,,Rivers,2014-06,Anti-Justice Daisy Okocha protesters (APC) stage a demonstration against her candidacy as state judge. The PDP later publicly condemned the protest.,NIG5999,5999
790847,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Lagos,2014-06,"Policemen chased away hundreds of Lagos State University, LASU, students who were protesting the hike in school fees at the Lagos Governors Office with teargas and rubber bullets. Some were injured in the chaos.",NIG5995,5995
790848,Protesters (Nigeria),Students (Nigeria),,,Ogun,2014-06,"Students of Tai Solarin University of Education, TASUED, Ijagun in Odogbolu Local Government Area protested an increase in student fees in Ijebu-Ode. The protest descended into a destructive riot by the second day, which eventually involved running clashes with security forces.",NIG5996,5996
791125,Protesters (Nigeria),Students (Nigeria),,,Lagos,2014-06,"Protesting students of University of Lagos, Akoka, caused traffic jam in Yaba area of Lagos State, southwest Nigeria, over increase in the schools late registration fee from N10,000 to N25,000. The protest was apparently effective: the school has reversed themselves on their fee policy.",NIG5977,5977
791186,Protesters (Nigeria),Students (Nigeria),,,Lagos,2014-06,"Lagos State University students protest at the Ikeja Magistrates Court against increased student fees. Police were present, but did not engage the protesters.",NIG5967,5967
791203,Protesters (Nigeria),Students (Nigeria),,,Federal Capital Territory,2014-06,"A ASUU strike leads to protests from University of Abuja students, who call for its end.",NIG5968,5968
791364,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Lagos,2014-06,Lagos State University students block traffic in Ojo to protest an increase of student fees. Police arrest eight.,NIG5961,5961
791791,Rioters (Nigeria),PDP: Peoples Democratic Party,Protesters (Nigeria),Women (Nigeria),Federal Capital Territory,2014-05,"Scores of young men supportive of President Johnathan and armed with bottles and stones attacked women's group protesters staging a demonstration over the plight of the kidnapped Chibok girls. Causalities/injuries not known. The two organizations were the Release of Girls and the #BringBackOurGirls group, respectively. Some groups have claimed that the kidnapping crisis has been sensationalised to embarrass Jonathan. The APC later condemned the action.",NIG5934,5934
791819,Protesters (Nigeria),Women (Nigeria),,,Bauchi,2014-05,A coalition of women groups in Bauchi State converged on the state capital to agitate for the release of the abducted Chibok school girls.,NIG5936,5936
791873,Protesters (Nigeria),Students (Nigeria),,,Benue,2014-05,Following an attack by a group of cultists who raped and robbed a group of female students at Benue State University a group of students hold a demonstration at the Chancellors office against the attack.,NIG5925,5925
791923,Protesters (Nigeria),Women (Nigeria),,,Bauchi,2014-05,A women's group took to the streets to demand release of the abducted Chibok girls.,NIG5919,5919
792162,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Plateau,2014-05,"A PDP candidate lead a protest against the recent Jos bombings. The procession had taken off at the GRA in Ado-Ekiti and the protesters marched through Fajuyi Park to the Old Garage in the state capital. The protesters, clad in black attires, had sang dirges to mourn the victims of the blasts, with some of them carrying banners that said 'Ekiti PDP mourns the victims of Jos bomb blast.'",NIG5899,5899
792172,Protesters (Nigeria),Students (Nigeria),,,Federal Capital Territory,2014-05,"Students of the University of Abuja staged a protest, accusing the Universitys Teaching Hospital, Gwagwalada, of negligence which allegedly caused the death of a fellow student.",NIG5903,5903
792824,Protesters (Nigeria),Students (Nigeria),,,Adamawa,2014-05,"The students of American University of Nigeria (AUN) in Yola, Adamawa State protest for the release of the Chibok girls.",NIG5850,5850
792843,Protesters (Nigeria),Students (Nigeria),,,Lagos,2014-05,Students of several schools in Lagos went on a protest to register their dismay over the rising cases of abduction of school children in the state.,NIG5836,5836
792883,Protesters (Nigeria),Catholic Christian Group (Nigeria),,,Edo,2014-05,"In Edo State, the Catholic Church Ladies of St. Mulumba (LSM) Nigeria, Benin-City Metropolitan staged a protest, asking the abductors of the Chibok girls to release them without any condition attached.",NIG5833,5833
793052,Protesters (Nigeria),Catholic Christian Group (Nigeria),,,Sokoto,2014-05,Demonstrators gather to call for the release of the abducted Chiubok girls. The protest was led by the local Catholic Bishop.,NIG5817,5817
793220,Protesters (Nigeria),Students (Nigeria),,,Imo,2014-05,A mob of students went on rampage at the Federal University of Technology Owerri (FUTO) destroying property worth millions of naira over alleged non payment of compensation. Date(s) vague. Unknown police involvement.,NIG5807,5807
793343,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2014-05,Scores of Nigerian women and some men continued their protest in Abuja to demand the release of the kidnapped girls. A similar protest occurred the previous day.,NIG5801,5801
793379,Protesters (Nigeria),Women (Nigeria),,,Enugu,2014-05,Members of various church and women's groups marched from Okpara Square to the Enugu State House of Assembly in protest of the abduction of a group of school girls at the hand of Boko Haram.,NIG5789,5789
793383,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2014-05,A women's group protests for the release of a group of abducted girls. The women changed locations from the Unity Fountain in Maitama to Grand Square in Central Area and then marched to Old Parade Ground with placards.,NIG5792,5792
793411,Protesters (Nigeria),Women (Nigeria),,,Edo,2014-05,Over 200 pregnant women staged a protest in Benin City over their inability to register for ante-natal care in government hospitals across Edo State and alleged lack of facilities at the laboratories of the Benin Central Hospital.,NIG5777,5777
793453,Protesters (Nigeria),Women (Nigeria),,,Ondo,2014-05,"A women's group protests for the release of the abducted students. The women, who were dressed in black, marched to the Office of the Ondo State Governor, Dr. Olusegun Mimiko, to demand the rescue of the girls. Exact date vague.",NIG5782,5782
793838,Protesters (Nigeria),Women (Nigeria),,,Oyo,2014-04,"More than 200 women from various groups held a peaceful protest across Ibadan, the Oyo State capital, over the 234 girls abducted by Boko Haram insurgents at the Government Girls Secondary School, Chibok in Borno State. The women, aged between 50 and 65, wept as they marched through the city in torn dresses.",NIG5754,5754
793955,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2014-04,"Some women of Chibok, Borno State, marched to Nigeria's National Assembly, urging the Federal Government to intensify efforts to rescue the remaining 230 female students abducted two weeks ago.",NIG5751,5751
793959,Protesters (Nigeria),COEASU: Colleges of Education Academic Staff Union; Teachers (Nigeria),Gov(Nigeria),,Federal Capital Territory,2014-04,"COEASU, along with ASUP protest in Abuja over the governments 'nonchalance' to their demands to fix polytechnics and colleges of education in the country. The group was dispersed by police using teargas and hot water outside the National Assembly building. It is not clear if there were any injuries.",NIG5749,5749
795150,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2014-04,"A group of women on protested against what they described as 'undue persecution' of Petroleum Resources Minister. The women, under the umbrella of Association of Concerned Nigerian Women, said that various allegations being made against the minister were attempts by some people to undermine women's aptitude in governance.",NIG5690,5690
795262,Protesters (Nigeria),APC: All Progressives Congress,,,Lagos,2014-04,"Some APC members in Lagos stormed the parties secretariat, protesting a publication that excluded their wards in the ward congress re-run elections in the state. The protesters, who came from various wards across the state, were seen chanting songs, displaying placards, demanding justice and fair play from the party.",NIG5680,5680
795322,Protesters (Nigeria),Students (Nigeria),,,Lagos,2014-04,"Students of Yaba College of Technology and members of Education Rights Campaign (ERC), in solidarity move with all polytechnic institutions nationwide, took to the streets of Lagos to protest the prolonged strike embarked upon by polytechnic lecturers.",NIG5675,5675
795393,Protesters (Nigeria),APC: All Progressives Congress,,,Ogun,2014-04,Members of APC protest following a party conference where several leaders were chosen by ballot. The protesters did not believe the elections were fairly administered.,NIG5669,5669
795870,Protesters (Nigeria),Students (Nigeria),,,Federal Capital Territory,2014-03,Students of the University of Abuja took to the streets protesting against inadequate water and electricity supply as well as poor security on campus.,NIG5650,5650
796136,Protesters (Nigeria),Catholic Christian Group (Nigeria),,,Lagos,2014-03,A Catholic group protests against abortion practices.,NIG5636,5636
796226,Protesters (Nigeria),Students (Nigeria),,,Plateau,2014-03,Students of the Plateau State University (now Solomon Lar University) in Bokkos LGA protested the shooting of two of their colleagues by people believed to be armed robbers near their hostel the previous day.,NIG5624,5624
796724,Protesters (Nigeria),Students (Nigeria),,,Lagos,2014-03,"Students from various universities (University of Lagos, UNILAG; Yaba College of Technology, YABATECH; Lagos State Polytechnic, LASPOTECH; Ilaro Polytechnic and Ede Polytechnic, among others) protest against an ongoing strike by Academic Staff Union of Polytechnics, ASUP, and that of College of Education Academic Staff Union, COEASU. The protesters numbers exceeded 1,000, causing traffic to be heavily disrupted.",NIG5606,5606
797392,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2014-03,"Groups of women, dressed in black, hold simultaneous protests against the recent Yobe killings in Lagos, Port Harcourt, Ibadan and Abuja.",NIG5561,5561
797397,Protesters (Nigeria),Women (Nigeria),,,Oyo,2014-03,"Groups of women, dressed in black, hold simultaneous protests against the recent Yobe killings in Lagos, Port Harcourt, Ibadan and Abuja.",NIG5562,5562
797422,Protesters (Nigeria),Women (Nigeria),,,Delta,2014-03,"A group of woman protest, blocking a road, over a planned military demolition of a portion of their village. The military use for the land is not known, though protesters carried banners accusing them of selling the land to 'foreigners.' Exact date not entirely clear.",NIG5566,5566
797433,Protesters (Nigeria),Women (Nigeria),,,Lagos,2014-03,"Groups of women, dressed in black, hold simultaneous protests against the recent Yobe killings in Lagos, Port Harcourt, Ibadan and Abuja.",NIG5563,5563
797434,Protesters (Nigeria),Women (Nigeria),,,Rivers,2014-03,"Groups of women, dressed in black, hold simultaneous protests against the recent Yobe killings in Lagos, Port Harcourt, Ibadan and Abuja.",NIG5564,5564
797687,Protesters (Nigeria),Women (Nigeria),,,Delta,2014-03,A group of women protest rampant power outages in Warri.,NIG5550,5550
798063,Protesters (Nigeria),Students (Nigeria),,,Ogun,2014-02,The medical students of Olabisi Onabanjo University embarked on a protest against what they called excessive tuition fees at the House of Assembly located at Oke-Mosan.,NIG5527,5527
798112,Protesters (Nigeria),Women (Nigeria),,,Lagos,2014-02,"A group of widows protest the demolition of their shops by the state government. The protesters gathered outside the governors home, lamenting their shops were their only means of livelihood.",NIG5525,5525
798136,Protesters (Nigeria),Women (Nigeria),,,Imo,2014-02,"A women's group protests a PDP meeting, which had concluded in the city the previous day. Many roads and intersections were reportedly congested with people.",NIG5522,5522
798488,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Lagos,2014-02,"Students of the Lagos State University, LASU, and Civil Society groups took to major roads before storming Lagos State House and state House of Assembly in protest against government decision not to reverse the hike in tuition fee. Police dispersed the group without incident.",NIG5508,5508
798952,Protesters (Nigeria),Students (Nigeria),,,Oyo,2014-02,"Students of The Polytechnic, Ibadan, staged a peaceful protest to register their grievances over the lingering strike by their lecturers. The protesting students converged on Sango and Mokola overhead bridge, with placards, thus hampering free flow of vehicular traffic.",NIG5481,5481
798954,Protesters (Nigeria),Students (Nigeria),,,Delta,2014-02,"The students of Petroleum Training Institute, Effurun, Delta State took to the streets on to protest against a lack of water in the school.",NIG5482,5482
799233,Protesters (Nigeria),Tiv Ethnic Group (Nigeria),,,Benue,2014-02,Suspected Fulani raiders kill a Tiv man in Makurdi LGA. The attack sparked a Tiv protest against insecurity the following day.,NIG5470,5470
799533,Protesters (Nigeria),Students (Nigeria),,,Lagos,2014-02,"Traffic was on stand still along Mile 2 Badagry expressway as students of Adeniran Ogunsanya College of Education, AOCOED, Ijanikin, took to the streets to protest what they termed unlawful increment in their tuition fees as well as insensitivity of the school management to their welfare.",NIG5454,5454
799543,Protesters (Nigeria),Students (Nigeria),,,Plateau,2014-02,Post-graduate students of the Institute of Mining & Geo-Sciences in Jos shut down the school in protest against inadequate facilities and what they termed 'inhuman treatment' meted on them by management.,NIG5451,5451
799569,Protesters (Nigeria),Students (Nigeria),,,Lagos,2014-02,Students of Adeniran Ogunsanya College of Education protest 'unnecessary' student fees.,NIG5455,5455
800353,Protesters (Nigeria),Students (Nigeria),,,Bayelsa,2014-01,"Students attending Federal University in Otuaka demonstrate in protest against a raise in student fees during the early morning hours, causing the university to close temporarily.",NIG5417,5417
800383,Protesters (Nigeria),Students (Nigeria),,,Bauchi,2014-01,Students of the Bauchi State Federal Polytechnic staged a protest over the continued closure of polytechnics across the country. The schools have been closed due to compensation disagreement between the Federal Government and the Academic Staff Union of Polytechnics.,NIG5416,5416
800639,Protesters (Nigeria),APC: All Progressives Congress,,,Jigawa,2014-01,"APC youths protested the delay in announcing local government election results for Hadeja and Malam Madori local governments areas. The protesters, who began their demonstrations at 8am at the palace of the District Head and the Emirs palace, chanted war songs and demanded the election results be released.",NIG5403,5403
801138,Protesters (Nigeria),Women (Nigeria),,,Bayelsa,2014-01,"Women from Agudama-Epie in Yenagoa Local Government Area of Bayelsa State staged a peaceful protest over the killing of a youth from the area, which according to them was due to the poor handling of a land dispute by the state government. The women blocked the busy Agudama-Epie axis of the Mbiama-Yenagoa road for over two hours, thereby disrupting vehicular traffic.",NIG5380,5380
801715,Protesters (Nigeria),Women (Nigeria),,,Bayelsa,2014-01,"Women of Peremabiri community in Southern Ijaw LGA crippled activities of the Shell Petroleum Development Company (SPDC) with a protest in the area over alleged non-implementation of the Global Memorandum of Understanding (GMoU) entered into with the community. The protesters tied red cloth as a traditional barricade to block the entrance to the SPDC oil platform, and claimed that the company had failed to deliver on a two year old promise to replace a faulty electricity generator, renovate existing schools and provide potable water.",NIG5348,5348
